                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4409,                 1.0467,                 1.6604,                0.84716,                0.87426,                0.91508,                 0.5957,                 1.1779,                0.86004,                 1.5881,             0.00053906,             0.00053906,             0.00053906
                     54,                 1.4116,                 1.0823,                 1.6011,                0.86017,                0.89623,                0.93226,                0.61423,                  1.177,                0.86317,                 1.5924,             0.00052806,             0.00052806,             0.00052806
                     55,                  1.407,                 1.1007,                 1.5835,                0.86122,                 0.8855,                0.92679,                0.59933,                 1.1921,                0.83442,                  1.604,             0.00051706,             0.00051706,             0.00051706
                     56,                 1.3546,                0.98636,                 1.5257,                0.82962,                0.87531,                 0.9167,                0.58787,                 1.1983,                0.83695,                 1.6216,             0.00050606,             0.00050606,             0.00050606
                     57,                 1.3935,                 1.0234,                 1.5932,                0.85839,                0.87052,                0.92223,                0.59168,                  1.224,                0.86233,                 1.6265,             0.00049506,             0.00049506,             0.00049506
                     58,                 1.3657,                0.96636,                 1.5177,                0.89283,                0.91106,                0.93969,                0.60278,                 1.2069,                0.80138,                 1.5864,             0.00048406,             0.00048406,             0.00048406
                     59,                 1.3288,                0.93227,                 1.5325,                 0.8684,                0.92715,                0.94168,                0.62493,                 1.1429,                0.80564,                 1.5644,             0.00047306,             0.00047306,             0.00047306
                     60,                 1.4106,                 1.0424,                 1.6226,                0.91128,                0.88398,                0.94365,                0.62352,                 1.1625,                0.77917,                 1.5771,             0.00046206,             0.00046206,             0.00046206
                     61,                 1.3092,                 0.9524,                 1.5423,                0.86256,                0.94059,                0.93806,                0.63951,                 1.1355,                0.76965,                 1.5372,             0.00045107,             0.00045107,             0.00045107
                     62,                 1.3408,                 1.0235,                 1.5539,                0.86713,                0.91879,                0.94483,                0.61633,                 1.1568,                0.78375,                 1.5549,             0.00044007,             0.00044007,             0.00044007
                     63,                 1.3426,                0.99808,                 1.5715,                0.90493,                0.87725,                0.95968,                0.62576,                 1.1566,                0.79875,                 1.5584,             0.00042907,             0.00042907,             0.00042907
                     64,                  1.356,                0.98249,                 1.5522,                0.91973,                0.89401,                0.96169,                0.63869,                 1.1161,                0.74883,                 1.5351,             0.00041807,             0.00041807,             0.00041807
                     65,                 1.3681,                0.93937,                 1.5205,                0.91402,                0.92349,                0.96965,                 0.6147,                 1.1579,                0.79494,                 1.5597,             0.00040707,             0.00040707,             0.00040707
                     66,                 1.3866,                0.96368,                 1.5602,                0.86635,                0.94403,                0.96665,                0.63915,                 1.1835,                0.75293,                 1.5783,             0.00039607,             0.00039607,             0.00039607
                     67,                 1.3335,                 1.0157,                 1.5249,                0.88397,                0.93947,                 0.9467,                0.63479,                 1.1194,                0.72811,                 1.5235,             0.00038507,             0.00038507,             0.00038507
                     68,                 1.3324,                0.91683,                 1.5398,                0.87684,                0.95502,                 0.9456,                0.63974,                 1.1296,                0.74729,                  1.531,             0.00037407,             0.00037407,             0.00037407
                     69,                 1.3122,                0.91229,                 1.5004,                 0.8905,                0.92392,                 0.9553,                0.62546,                 1.1541,                 0.7425,                  1.554,             0.00036307,             0.00036307,             0.00036307
                     70,                 1.2811,                0.92557,                 1.4676,                0.90951,                0.94182,                0.96725,                0.64843,                 1.1458,                0.70548,                 1.5386,             0.00035208,             0.00035208,             0.00035208
                     71,                  1.311,                0.89795,                 1.4926,                 0.9034,                0.93005,                0.96557,                0.66128,                 1.0945,                0.73225,                 1.4924,             0.00034108,             0.00034108,             0.00034108
                     72,                 1.2113,                0.86076,                 1.4536,                0.88493,                0.94253,                0.96363,                0.66696,                 1.0866,                0.69257,                 1.4884,             0.00033008,             0.00033008,             0.00033008
                     73,                 1.2938,                 0.9687,                 1.5175,                0.86889,                0.95101,                0.96524,                0.65384,                  1.111,                0.71094,                 1.5168,             0.00031908,             0.00031908,             0.00031908
                     74,                 1.2484,                0.87618,                 1.4612,                 0.9081,                0.94802,                0.96771,                0.65584,                 1.1052,                0.69934,                  1.506,             0.00030808,             0.00030808,             0.00030808
                     75,                 1.2192,                0.83668,                 1.4282,                0.86594,                0.93829,                0.95442,                0.63993,                 1.1423,                0.71607,                 1.5351,             0.00029708,             0.00029708,             0.00029708
                     76,                 1.2599,                0.84255,                 1.4595,                0.89281,                0.95423,                0.96335,                0.63976,                 1.0935,                0.70049,                 1.5028,             0.00028608,             0.00028608,             0.00028608
                     77,                 1.2479,                0.83998,                  1.454,                0.96582,                0.93159,                0.98004,                0.67995,                  1.078,                0.66112,                 1.4874,             0.00027508,             0.00027508,             0.00027508
                     78,                 1.2761,                0.87629,                 1.4876,                0.92936,                0.95088,                0.98104,                 0.6582,                 1.0814,                0.69105,                 1.4829,             0.00026408,             0.00026408,             0.00026408
                     79,                  1.246,                0.82199,                  1.461,                0.91862,                 0.9459,                0.97312,                0.65039,                   1.13,                0.67812,                 1.5294,             0.00025309,             0.00025309,             0.00025309
                     80,                 1.2264,                0.82888,                 1.4514,                0.89632,                0.93207,                 0.9528,                0.65453,                 1.0607,                0.67385,                 1.4723,             0.00024209,             0.00024209,             0.00024209
                     81,                 1.2074,                0.82802,                 1.4376,                0.91797,                 0.9314,                0.97083,                0.66583,                 1.0694,                0.65885,                 1.4827,             0.00023109,             0.00023109,             0.00023109
                     82,                 1.2298,                0.79996,                 1.4323,                0.95399,                0.93536,                 0.9743,                 0.6831,                 1.0392,                0.65123,                 1.4491,             0.00022009,             0.00022009,             0.00022009
                     83,                 1.2049,                0.81553,                 1.4144,                0.96323,                0.93622,                0.98208,                0.68643,                 1.0484,                0.65676,                 1.4611,             0.00020909,             0.00020909,             0.00020909
                     84,                 1.2283,                0.82222,                 1.4581,                0.94313,                0.96624,                0.98438,                0.68525,                 1.0379,                 0.6369,                 1.4583,             0.00019809,             0.00019809,             0.00019809
                     85,                 1.2235,                 0.8205,                 1.4445,                0.96469,                0.97187,                0.98762,                0.68188,                 1.0302,                0.62605,                 1.4446,             0.00018709,             0.00018709,             0.00018709
                     86,                 1.2044,                0.89338,                  1.468,                0.94887,                0.93752,                0.98486,                 0.6867,                 1.0355,                0.62738,                 1.4486,             0.00017609,             0.00017609,             0.00017609
                     87,                 1.2042,                0.86418,                 1.4665,                0.97364,                 0.9433,                0.98726,                0.69853,                 1.0126,                0.60996,                 1.4248,             0.00016509,             0.00016509,             0.00016509
                     88,                 1.1676,                0.77252,                 1.4133,                0.96347,                0.97391,                0.98655,                0.68511,                 1.0281,                0.62165,                 1.4336,              0.0001541,              0.0001541,              0.0001541
                     89,                 1.1925,                0.77604,                 1.4181,                0.92413,                0.95632,                0.98667,                0.69204,                 1.0176,                  0.639,                 1.4302,              0.0001431,              0.0001431,              0.0001431
                     90,                 1.1753,                0.74908,                 1.3817,                0.95703,                0.95727,                0.98659,                0.69852,                 1.0049,                0.60652,                 1.4221,              0.0001321,              0.0001321,              0.0001321
                     91,                 1.1258,                0.73533,                 1.5074,                0.94944,                0.96759,                0.98807,                0.68133,                 1.0663,                0.64323,                 1.4601,              0.0001211,              0.0001211,              0.0001211
                     92,                 1.1087,                0.70744,                 1.5057,                0.96092,                 0.9762,                0.98913,                0.68986,                 1.0075,                0.62777,                 1.4105,              0.0001101,              0.0001101,              0.0001101
                     93,                 1.0721,                0.66956,                 1.4603,                0.96452,                0.98362,                0.98966,                 0.7033,                0.99795,                0.59309,                 1.4064,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                 1.1528,                0.71928,                 1.4945,                0.96602,                0.98178,                0.99038,                0.70554,                0.98935,                0.58342,                 1.3985,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                 1.1321,                 0.6824,                  1.475,                0.97395,                0.95749,                0.98993,                0.70491,                0.98904,                0.58862,                 1.4036,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                 1.1334,                0.72016,                 1.4917,                0.96688,                0.97044,                 0.9898,                0.70939,                0.98687,                 0.5853,                 1.3997,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                 1.1011,                0.66103,                  1.504,                 0.9619,                0.97517,                0.98957,                0.71681,                0.97369,                0.59596,                 1.3905,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                 1.0506,                0.64826,                 1.4568,                0.97466,                0.96463,                0.99126,                0.71494,                0.97598,                0.58035,                 1.3896,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                 1.0468,                0.63879,                 1.4534,                0.97151,                0.96751,                0.99009,                0.71214,                0.97439,                0.57493,                 1.3933,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                 1.0181,                0.63008,                 1.4208,                0.97253,                0.96784,                0.99048,                0.71417,                0.97223,                0.57121,                 1.3897,             2.2109e-05,             2.2109e-05,             2.2109e-05
